experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_eyeTrackingData_location_0,manual_reach_ppt_hand_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0
1_tooluseinVR,d1-017,1,1,1,1,1063.042,1069.584,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T001.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T001.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T001.csv,,,,,
1_tooluseinVR,d1-017,1,2,1,2,1073.758,1078.179,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T002.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T002.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T002.csv,,,,,
1_tooluseinVR,d1-017,1,3,1,3,1082.519,1085.82,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T003.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T003.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T003.csv,,,,,
1_tooluseinVR,d1-017,1,4,1,4,1088.808,1092.829,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T004.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T004.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T004.csv,,,,,
1_tooluseinVR,d1-017,1,5,1,5,1095.779,1099.726,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T005.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T005.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T005.csv,,,,,
1_tooluseinVR,d1-017,1,6,1,6,1103.212,1106.511,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T006.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T006.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T006.csv,,,,,
1_tooluseinVR,d1-017,1,7,1,7,1109.464,1114.885,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T007.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T007.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T007.csv,,,,,
1_tooluseinVR,d1-017,1,8,1,8,1117.839,1121.66,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T008.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T008.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T008.csv,,,,,
1_tooluseinVR,d1-017,1,9,1,9,1124.612,1127.846,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T009.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T009.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T009.csv,,,,,
1_tooluseinVR,d1-017,1,10,1,10,1131.521,1134.831,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T010.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T010.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T010.csv,,,,,
1_tooluseinVR,d1-017,1,11,1,11,1137.785,1140.84,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T011.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T011.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T011.csv,,,,,
1_tooluseinVR,d1-017,1,12,1,12,1143.792,1147.535,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T012.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T012.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T012.csv,,,,,
1_tooluseinVR,d1-017,1,13,1,13,1150.49,1154.689,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T013.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T013.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T013.csv,,,,,
1_tooluseinVR,d1-017,1,14,1,14,1160.217,1163.175,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T014.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T014.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T014.csv,,,,,
1_tooluseinVR,d1-017,1,15,1,15,1166.126,1169.104,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T015.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T015.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T015.csv,,,,,
1_tooluseinVR,d1-017,1,16,1,16,1172.058,1175.023,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T016.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T016.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T016.csv,,,,,
1_tooluseinVR,d1-017,1,17,1,17,1177.977,1181.009,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T017.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T017.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T017.csv,,,,,
1_tooluseinVR,d1-017,1,18,1,18,1183.963,1186.874,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T018.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_eyeTrackingData_T018.csv,1_tooluseinVR/d1-017/S001/trackers/manual_reach/manual_reach_ppt_hand_movement_T018.csv,,,,,
1_tooluseinVR,d1-017,1,19,2,1,1458.391,1459.424,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T019.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T019.csv,,,
1_tooluseinVR,d1-017,1,20,2,2,1463.477,1464.199,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T020.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T020.csv,,,
1_tooluseinVR,d1-017,1,21,2,3,1468.253,1469.053,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T021.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T021.csv,,,
1_tooluseinVR,d1-017,1,22,2,4,1473.106,1474.139,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T022.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T022.csv,,,
1_tooluseinVR,d1-017,1,23,2,5,1478.193,1479.303,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T023.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T023.csv,,,
1_tooluseinVR,d1-017,1,24,2,6,1483.357,1484.246,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T024.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T024.csv,,,
1_tooluseinVR,d1-017,1,25,2,7,1488.299,1490.087,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T025.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T025.csv,,,
1_tooluseinVR,d1-017,1,26,2,8,1494.141,1495.251,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T026.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T026.csv,,,
1_tooluseinVR,d1-017,1,27,2,9,1499.305,1501.127,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T027.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T027.csv,,,
1_tooluseinVR,d1-017,1,28,2,10,1505.18,1507.001,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T028.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T028.csv,,,
1_tooluseinVR,d1-017,1,29,2,11,1511.044,1511.932,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T029.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T029.csv,,,
1_tooluseinVR,d1-017,1,30,2,12,1515.987,1518.252,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T030.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T030.csv,,,
1_tooluseinVR,d1-017,1,31,2,13,1522.305,1523.349,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T031.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T031.csv,,,
1_tooluseinVR,d1-017,1,32,2,14,1527.403,1528.758,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T032.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T032.csv,,,
1_tooluseinVR,d1-017,1,33,2,15,1532.811,1533.511,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T033.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T033.csv,,,
1_tooluseinVR,d1-017,1,34,2,16,1537.565,1538.82,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T034.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T034.csv,,,
1_tooluseinVR,d1-017,1,35,2,17,1542.862,1546.261,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T035.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T035.csv,,,
1_tooluseinVR,d1-017,1,36,2,18,1550.314,1553.313,,,,1_tooluseinVR/d1-017/S001/trackers/landmark/landmarkstimulus_estimates_T036.csv,1_tooluseinVR/d1-017/S001/trackers/landmark/landmark_eyeTrackingData_T036.csv,,,
1_tooluseinVR,d1-017,1,37,3,1,1954.889,1962.419,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T037.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T037.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T037.csv
1_tooluseinVR,d1-017,1,38,3,2,1965.372,1972.136,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T038.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T038.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T038.csv
1_tooluseinVR,d1-017,1,39,3,3,1975.091,1987.097,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T039.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T039.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T039.csv
1_tooluseinVR,d1-017,1,40,3,4,1990.05,2026.655,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T040.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T040.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T040.csv
1_tooluseinVR,d1-017,1,41,3,5,2029.608,2035.228,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T041.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T041.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T041.csv
1_tooluseinVR,d1-017,1,42,3,6,2038.183,2043.992,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T042.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T042.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T042.csv
1_tooluseinVR,d1-017,1,43,3,7,2046.946,2051.866,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T043.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T043.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T043.csv
1_tooluseinVR,d1-017,1,44,3,8,2054.819,2060.296,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T044.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T044.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T044.csv
1_tooluseinVR,d1-017,1,45,3,9,2063.249,2068.526,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T045.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T045.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T045.csv
1_tooluseinVR,d1-017,1,46,3,10,2071.478,2076.931,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T046.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T046.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T046.csv
1_tooluseinVR,d1-017,1,47,3,11,2079.885,2085.327,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T047.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T047.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T047.csv
1_tooluseinVR,d1-017,1,48,3,12,2088.282,2093.335,,,,,,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_vive_tool_movement_steamvr_T048.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_eyeTrackingData_T048.csv,1_tooluseinVR/d1-017/S001/trackers/tool_reach/tool_reach_ppt_tool_movement_T048.csv
